"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-09","0.06","0.0","0.0","46","57","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-10","0.18","0.0","0.0","48","55","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-11","0.16","0.0","0.0","47","59","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-12","0.48","0.0","0.0","52","60","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-13","0.03","0.0","0.0","48","53","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-14","0.09","0.0","0.0","47","55","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-15","0.00","0.0","0.0","47","60","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-16","0.02","0.0","0.0","52","63","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-17","0.19","0.0","0.0","54","59","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-18","0.05","0.0","0.0","54","64","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-19","0.43","0.0","0.0","53","56","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-20","0.09","0.0","0.0","50","60","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-21","0.00","0.0","0.0","51","69","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-22","0.14","0.0","0.0","60","63","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-23","0.27","0.0","0.0","53","56","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-24","1.02","0.0","0.0","48","54","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-25","0.15","0.0","0.0","50","54","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-26","0.21","0.0","0.0","52","58","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-27","0.08","0.0","0.0","49","56","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-28","0.00","0.0","0.0","49","61","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-29","0.06","0.0","0.0","52","64","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-04-30","0.01","0.0","0.0","54","60","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.59578","-122.60919","6.7","2017-05-01","0.01","0.0","0.0","49","54","41"
